Name;Kategorie;Lat;Long;Adresse;Telefon;Webseite;Kurzbeschreibung
Kleiderladen & Mehr Konz;Beratungsdienste/Armutsprävention;49.697.765;657.302;Am Markt 16, 54329 Konz;06501 80238-05;https://www.caritas-region-trier.de/hilfe-und-beratung/lebenslagen/geringes-einkommen/kleiderladen-mehr/kleiderladen-mehr;Der Caritas-Kleiderladen & Mehr in Konz bietet gut erhaltene Kleidung und Textilien für alle Menschen. Personen mit geringem Einkommen erhalten mit einer Kundenkarte die Möglichkeit, besonders günstig einzukaufen.
Sozialstation Konz;Gesundheitshilfen/ambulante Pflege;49.705.135;6.582.204;Karthäuser Str. 157, 54329 Konz;06501 943060;https://www.caritas-region-trier.de/hilfe-und-beratung/lebensphasen/alter-und-pflege/sozialstationen/startseite;
Beratungs- und Koordinierungsstellen in den Pflegestützpunkten in Konz;Gesundheitshilfen/ambulante Pflege;49.707.674;6.586.043;Karthäuser Str. 157, 54329 Konz;;https://mastd.rlp.de/themen/pflege/menschen-pflegen/pflegestuetzpunkte;
Pädagogische Tagesgruppe Haus Kobenbach ;Kinder- und Jugendhilfe;49.708.359;6.624.613;Kobenbach 1, 54296 Trier;0651 35901;https://www.caritas-region-trier.de/hilfe-und-beratung/lebensphasen/jugend/paedagogische-tagesgruppe-haus-kobenbach/paedagogische-tagesgruppe-haus-kobenbach;Die Pädagogische Tagesgruppe Haus Kobenbach unterstützt Kinder und Jugendliche mit besonderem Förderbedarf sowie ihre Familien. Durch soziales Lernen, schulische Begleitung und intensive Elternarbeit stärkt sie die Entwicklung der Kinder und trägt dazu bei, den Verbleib in der Familie zu sichern.
Integrative Kindertagesstätten Haus Tobias Trier‑Feyen;Kinder- und Jugendhilfe;49.726.541;6.634.028;Zum Pfahlweiher 9, 54294 Trier;0651 99359070;https://www.caritas-region-trier.de/hilfe-und-beratung/lebensphasen/kinder/integrative-kindertagesstaetten-haus-tobias/integrative-kindertagesstaetten-haus-tobias;
Integrative Kindertagesstätten Haus Tobias Thomm;Kinder- und Jugendhilfe;49.743.361;6.806.431;Feldstraße 2, 54317 Thomm;06500 8887;https://www.caritas-region-trier.de/hilfe-und-beratung/lebensphasen/kinder/integrative-kindertagesstaetten-haus-tobias/integrative-kindertagesstaetten-haus-tobias;
Sozialdienst für Flüchtlinge;Migration und Flucht ;49.747.905;6.617.098;Eurener Straße 54, 54292 Trier;0651 463919-311;https://www.caritas-region-trier.de/hilfe-und-beratung/lebensraeume/migration-und-flucht/sozialdienst-fuer-fluechtlinge/sozialdienst-fuer-fluechtlinge;Mit unserem Sozialdienst begleiten, beraten und unterstützen wir Flüchtlinge.
Kindertageseinrichtung Bauspielplatz Trier‑West ;Kinder- und Jugendhilfe;49.751.711;6.619.907;Eurener Straße 6, 54294 Trier;0651 85789;https://www.caritas-region-trier.de/hilfe-und-beratung/lebensphasen/kinder/kindertageseinrichtung-bauspielplatz/kindertageseinrichtung-bauspielplatz;Der Bauspielplatz in Trier-West bietet eine familien- und sozialraumorientierte Nachmittagsbetreuung für Schulkinder. In verlässlichen Gruppen werden Kinder individuell gefördert, begleitet und in ihrer persönlichen Entwicklung gestärkt.
Gemeinwesenarbeit Trier-West und Pallien;Sozialräumliche Angebote ;49.752.529;661.717;Pater-Loskyll-Weg 15, 54294 Trier;0651 94873-423;https://www.caritas-region-trier.de/hilfe-und-beratung/lebensraeume/stadtteilarbeit/gemeinwesenarbeit-trier-west/gemeinwesenarbeit-trier-west;Die Gemeinwesenarbeit Trier-West ist eine offene Anlaufstelle für alle Menschen im Stadtteil. Sie berät, unterstützt und entwickelt gemeinsam mit den Bürger*innen Projekte und Angebote, die das Miteinander stärken und die Lebensqualität im Quartier verbessern.
Kindertagesstätte Walburga‑Marx‑Haus ;Kinder- und Jugendhilfe;49.752.529;661.717;Pater-Loskyll-Weg 15, 54294 Trier;0651 94873-410;https://www.caritas-region-trier.de/hilfe-und-beratung/lebensphasen/kinder/kindertagesstaette-walburga-marx-haus/kindertagesstaette-walburga-marx-haus;Im Walburga-Marx-Haus betreuen wir Kinder im Alter von 0 bis 6 Jahren aus dem Stadtteil Trier-West in altersgemischten, familiären Kleingruppen.
learn-factory;Integration in Arbeit und Ausbildung;49.753.535;664.023;Jesuitenstraße 13, 54290 Trier;0651 2096-362;https://www.caritas-region-trier.de/hilfe-und-beratung/lebenslagen/arbeit-und-ausbildung/learn-factory;Die learn-factory unterstützt junge Menschen mit Förderbedarf beim Übergang von der Schule in Ausbildung und Beruf. Gleichzeitig begleitet sie Ausbildungsbetriebe und Schulen, um eine erfolgreiche berufliche Integration zu fördern.
Projekt IQ - Qualifizierungs-begleitung Gesundheit;Integration in Arbeit und Ausbildung;49.753.535;664.023;Jesuitenstraße 13, 54290 Trier;0651 2096-363;https://www.caritas-region-trier.de/hilfe-und-beratung/lebensraeume/migration-und-flucht/foerderprogramm-iq/iq-at-work;
Projekt MY TURN - Start Working;Integration in Arbeit und Ausbildung;49.753.535;664.023;Jesuitenstraße 13, 54290 Trier; 0651 2096-335;https://www.caritas-region-trier.de/hilfe-und-beratung/lebensraeume/migration-und-flucht/start-working/start-working;Wir unterstützen Frauen mit Migrationserfahrung dabei, ihre Stärke(n) zu erkennen, sich beruflich zu orientieren und eine passende Qualifizierung, Ausbildung oder Arbeit zu finden.
TACT GmbH - Postdienstleistungen;Hilfen für Menschen mit Behinderung;49.753.866;6.617.098;Trierweilerweg 55, 54294 Trier;0651 2096-370;https://www.trier-tact.de/;
TACT GmbH - Wäscherei und Chemische Reinigung;Hilfen für Menschen mit Behinderung;49.753.866;6.617.098;Trierweilerweg 55, 54294 Trier;0651 2096370;https://www.trier-tact.de/;
Bahnhofsmission;Wohnungslosenhilfe;49.757.023;6.651.849;Am Hauptbahnhof Trier, Gleis 11 Nord, 54292 Trier;0 651 48875;https://www.caritas-region-trier.de/hilfe-und-beratung/lebenslagen/wohnungslos/bahnhofsmission/bahnhofsmission;Die Bahnhofsmission Trier ist eine offene Anlaufstelle für Reisende und Menschen in Not. Sie bietet seit 125 Jahren unbürokratische Hilfe, praktische Unterstützung und ein offenes Ohr – direkt im Hauptbahnhof Trier.
Bildungsberatung Garantiefonds  Hochschule;Migration und Flucht ;49.757.465;6.650.749;Bahnhofstraße 30-32, 54292 Trier;;https://www.caritas-region-trier.de/hilfe-und-beratung/lebensraeume/migration-und-flucht/bildungsberatung-garantiefonds-hochschule/bildungsberatung-garantiefonds-hochschule;"Das Bundesprogramm ""Bildungsberatung Garantiefonds Hochschule"" (GF-H) berät zugewanderte Sekundarschulabsolvent*innen, Studierende und Akademiker, die eine akademische Laufbahn in Deutschland aufnehmen oder fortsetzen möchten."
Stromspar-Check;Integration in Arbeit und Ausbildung;49.757.465;6.650.749;Bahnhofstraße 30-32, 54290 Trier;0651 462788-69;https://www.caritas-region-trier.de/hilfe-und-beratung/lebenslagen/geringes-einkommen/stromspar-check/stromspar-check;Der Stromspar-Check unterstützt Haushalte mit geringem Einkommen dabei, Energie und Kosten zu sparen. Die kostenlose Beratung umfasst praktische Spartipps, einen individuellen Stromsparplan und kostenlose Soforthilfen für den Haushalt.
Sozialstation am Dom, Trier;Gesundheitshilfen/ambulante Pflege;49.757.965;6.646.712;Kochstraße 2, 54290 Trier;0651 45888;https://www.caritas-region-trier.de/hilfe-und-beratung/lebensphasen/alter-und-pflege/sozialstationen/startseite;
Integrative Familienhilfe gGmbH ;Kinder- und Jugendhilfe;49.759.613;6.625.276;Wolfsgasse 1a, 54294 Trier;0651 981275-2;https://www.caritas-region-trier.de/hilfe-und-beratung/lebensphasen/familie/integrative-familienhilfe/integrative-familienhilfe;Die Integrative Familienhilfe unterstützt Familien in schwierigen Lebenssituationen mit intensiver sozialpädagogischer und therapeutischer Begleitung. Ziel ist es, Familien zu stärken, ihre Erziehungskompetenz zu fördern und gemeinsam tragfähige Perspektiven zu entwickeln.
Beratungs- und Koordinierungsstellen in den Pflegestützpunkten in Trier;Gesundheitshilfen/ambulante Pflege;49.759.731;664.079;Kutzbachstraße 7, 54290 Trier;;https://mastd.rlp.de/themen/pflege/menschen-pflegen/pflegestuetzpunkte;
Fachambulanz für Suchtkranke und Angehörigen: Allgemeine Suchtberatung;Beratungsdienste/Armutsprävention;49.759.731;664.079;Kutzbachstraße 15, 54290 Trier;0651 145395-0;https://www.caritas-region-trier.de/hilfe-und-beratung/lebenslagen/sucht/fachambulanz-fuer-suchtkranke-und-angehoerige/;
Fachambulanz für Suchtkranke und Angehörigen: Ambulante Rehabilitation;Beratungsdienste/Armutsprävention;49.759.731;664.079;Kutzbachstraße 15, 54290 Trier;0651 145395-0;https://www.caritas-region-trier.de/hilfe-und-beratung/lebenslagen/sucht/fachambulanz-fuer-suchtkranke-und-angehoerige/;
Fachambulanz für Suchtkranke und Angehörigen: Frauenspezifische Suchtberatung;Beratungsdienste/Armutsprävention;49.759.731;664.079;Kutzbachstraße 15, 54290 Trier;0651 145395-0;https://www.caritas-region-trier.de/hilfe-und-beratung/lebenslagen/sucht/fachambulanz-fuer-suchtkranke-und-angehoerige/;
Fachambulanz für Suchtkranke und Angehörigen: JVA Beratung;Beratungsdienste/Armutsprävention;49.759.731;664.079;Kutzbachstraße 15, 54290 Trier;0651 145395-0;https://www.caritas-region-trier.de/hilfe-und-beratung/lebenslagen/sucht/fachambulanz-fuer-suchtkranke-und-angehoerige/;
Mitgesellschafter in der Pflegegesellschaft St. Martin gGmbH  (Trier);Gesundheitshilfen/ambulante Pflege;49.760.056;6.639.875;Bruchhausenstraße 22a, 54290 Trier;;https://www.pflege-stmartin.de/pgstm/;
Tagesstätte St. Maximin;Gemeindepsychiatrie;49.760.096;6.649.267;Thebäerstraße 21, 54292 Trier;0651 2096325;https://www.caritas-region-trier.de/hilfe-und-beratung/lebenslagen/beeintraechtigung-und-krankheit/tagesstaette-st.-maximin/tagesstaette-st.-maximin;Die Tagesstätte St. Maximin bietet psychisch erkrankten Erwachsenen eine verlässliche Tagesstruktur sowie vielfältige therapeutische und alltagspraktische Angebote. Ziel ist es, die persönliche Stabilität zu fördern und die soziale sowie berufliche Teilhabe zu unterstützen.
Allgemeine Soziale Beratung ;Beratungsdienste/Armutsprävention;49.760.193;6.647.516;Petrusstraße 28, 54292 Trier; 0651 2096-0;https://www.caritas-region-trier.de/hilfe-und-beratung/haus-der-beratung;Die Allgemeine Sozialberatung (ASB) bietet Unterstützung in existentiellen und persönlichen Notlagen.
Clearing und Anlaufstelle mit Telefonzentrale;Beratungsdienste/Armutsprävention;49.760.193;6.647.516;Petrusstraße 28, 54292 Trier; 0651 2096-0;https://www.caritas-region-trier.de/hilfe-und-beratung/haus-der-beratung;
Ehe-Familien-Lebensberatung;Beratungsdienste/Armutsprävention;49.760.193;6.647.516;Petrusstraße 28, 54292 Trier; 0651 2096-0;https://www.caritas-region-trier.de/hilfe-und-beratung/haus-der-beratung;Die Ehe-, Familien- und Lebensberatung unterstützt Menschen, Paare und Familien in schwierigen Lebenssituationen – von persönlichen Krisen über Partnerschafts- und Trennungskonflikte bis hin zu Fragen rund um Familie und Erziehung. Die Beratung ist kostenlos, freiwillig und vertraulich.
Energiehilfen-Beratung ;Beratungsdienste/Armutsprävention;49.760.193;6.647.516;Petrusstraße 28, 54292 Trier;0651 2096-0;https://www.caritas-region-trier.de/hilfe-und-beratung/lebensphasen/familie/allgemeine-sozialberatung/energiekosten-im-blick;Energiekosten im Blick bietet kostenlose Beratung für Senior*innen ab 65 Jahren in Trier und dem Landkreis Trier-Saarburg. Das Projekt unterstützt bei Fragen zu Energiekosten, Budgetplanung, Energiesparen und möglichen finanziellen Hilfen.
Kurvermittlung;Beratungsdienste/Armutsprävention;49.760.193;6.647.516;Petrusstraße 28, 54292 Trier; 0651 2096-0;https://www.caritas-region-trier.de/hilfe-und-beratung/haus-der-beratung;Die Beratungsstelle für Kurvermittlung unterstützt Eltern und pflegende Angehörige bei der Planung, Beantragung und Nachsorge von Kurmaßnahmen. Sie berät individuell und begleitet den gesamten Weg – von der Auswahl der passenden Kur bis zur Rückkehr in den Alltag.
Lotsenstelle für Familien mit psychisch- oder suchterkranktem Elternteil;Beratungsdienste/Armutsprävention;49.760.193;6.647.516;Petrusstraße 28, 54292 Trier; 0651 2096-0;https://www.caritas-region-trier.de/hilfe-und-beratung/haus-der-beratung;Die Lotsenstelle unterstützt Familien mit einem psychisch- oder suchterkrankten Elternteil in der Stadt Trier. Sie berät, begleitet und vermittelt passende Hilfsangebote, um Familien individuell zu entlasten und zu stärken.
Patenprojekt: Balu & Du;Beratungsdienste/Armutsprävention;49.760.193;6.647.516;Petrusstraße 28, 54292 Trier; 0651 2096-0;https://www.caritas-region-trier.de/spende-und-engagement/ehrenamt/einsatzmoeglichkeiten/balu-und-du/balu-und-du;Balu und Du ist ein Mentorenprogramm, bei dem junge Ehrenamtliche Grundschulkinder ein Jahr lang begleiten. Durch gemeinsame Freizeitaktivitäten stärken sie das Selbstvertrauen der Kinder, fördern ihre Entwicklung und schenken ihnen verlässliche Unterstützung.
Schuldner- und Insolvenzberatung ;Beratungsdienste/Armutsprävention;49.760.193;6.647.516;Petrusstraße 28, 54292 Trier; 0651 2096-0;https://www.caritas-region-trier.de/hilfe-und-beratung/haus-der-beratung;
Verfahrensberatung;Migration und Flucht ;49.760.193;6.647.516;Petrusstraße 28, 54292 Trier;0651 2096-0;https://www.caritas-region-trier.de/hilfe-und-beratung/haus-der-beratung;
Jugendmigrationsdienst und Jugendmigrationsdienst im Quartier - Trier;Migration und Flucht ;49.760.456;6.638.623;Bruchhausenstraße 16a, 54290 Trier;0651 2096-354;https://www.caritas-region-trier.de/hilfe-und-beratung/lebensraeume/migration-und-flucht/jugendmigrationsdienst/jugendmigrationsdienst;Wir beraten und begleiten zugewanderte Jugendliche und junge Erwachsene im Alter von 12 bis 27 Jahren.
Migrationsberatung für erwachsene Zugewanderte;Migration und Flucht ;49.760.456;6.638.623;Bruchhausenstraße 16a, 54290 Trier;0651 2096-356;https://www.caritas-region-trier.de/hilfe-und-beratung/lebensraeume/migration-und-flucht/migrationsberatung-fuer-erwachsene/migrationsberatung-fuer-erwachsene;Die Migrationsberatung für erwachsene Zugewanderte (MBE) richtet sich an neu zugewanderte Erwachsene ab 27 Jahren und ihre Familien. Unser Ziel ist es, die Zuwanderer zur schnellen Integration anzuregen, sie zu begleiten und den Prozess zu steuern.
Migrationsfachdienst;Migration und Flucht ;49.760.456;6.638.623;Bruchhausenstraße 16a, 54290 Trier;0651 2096-353;https://www.caritas-region-trier.de/hilfe-und-beratung/lebensraeume/migration-und-flucht/migrationsfachdienst/migrationsfachdienst;Unser Fachdienst richtet sich an zugewanderte Menschen, die Hilfe bei der Integration brauchen. Zudem arbeiten wir in Netzwerken mit und beraten andere Einrichtungen bei Fragen zu Migration, Integration und interkultureller Öffnung.
Gemeinwesenarbeit Alt-Kürenz;Sozialräumliche Angebote ;49.761.238;6.663.182;Domänenstraße 92, 54295 Trier;0651 94873-435;https://www.caritas-region-trier.de/hilfe-und-beratung/lebensraeume/stadtteilarbeit/gemeinwesenarbeit-alt-kuerenz/gemeinwesenarbeit-alt-kuerenz;Die Gemeinwesenarbeit Alt-Kürenz ist eine offene Anlaufstelle für alle Menschen im Stadtteil. Sie fördert Begegnung, berät in verschiedenen Lebenslagen und entwickelt gemeinsam mit den Bürger*innen Angebote für ein lebendiges und lebenswertes Miteinander.
Kleiderladen & Mehr Trier;Beratungsdienste/Armutsprävention;49.762.981;6.649.255;Paulinstraße 19, 54292 Trier;0651 2096-210;https://www.caritas-region-trier.de/hilfe-und-beratung/lebenslagen/geringes-einkommen/kleiderladen-mehr/kleiderladen-mehr;Der Caritas-Kleiderladen & Mehr in Trier bietet gut erhaltene Kleidung und Textilien zu günstigen Preisen für alle. Gleichzeitig ist er ein Ort der Begegnung, Beratung und gelebten Nachhaltigkeit.
Raphaelshaus;Gemeindepsychiatrie;49.764.145;6.639.126;Peter-Friedhofen-Straße 31, 54292 Trier;0651 27095-0;https://www.caritas-region-trier.de/hilfe-und-beratung/lebenslagen/beeintraechtigung-und-krankheit/raphaelshaus/raphaelshaus;Das Raphaelshaus ist Anlaufstelle für Menschen mit psychischen Erkrankungen sowie deren Angehörige. Mit Wohn-, Beratungs- und Unterstützungsangeboten begleitet die Einrichtung Menschen auf dem Weg zu einem selbstbestimmten Leben.
Hort Ambrosius ;Kinder- und Jugendhilfe;49.765.069;665.901;Hans-Eiden-Platz 3, 54292 Trier;0651 23492;https://www.caritas-region-trier.de/hilfe-und-beratung/lebensphasen/kinder/hort-ambrosius/hort-ambrosius;Der Hort Ambrosius in Trier-Nord bietet außerschulische Betreuung für Schulkinder.
Haus Lukas;Wohnungslosenhilfe;49.769.058;6.659.892;Herzogenbuscher Straße 61, 54292 Trier;0651 9679910;https://www.caritas-region-trier.de/hilfe-und-beratung/lebenslagen/wohnungslos/haus-lukas/haus-lukas;Das Haus Lukas ist ein Langzeitwohnheim für alleinstehende wohnungslose Erwachsene und Paare. Mit Wohnraum, Betreuung und individueller Unterstützung begleitet die Einrichtung Menschen auf dem Weg in ein selbstständiges Leben und eigenen Wohnraum.
Ökumenische Sozialstation Trier;Gesundheitshilfen/ambulante Pflege;49.769.234;6.671.494;Metternichstraße 29, 54292 Trier;0651 26919;https://sozialstation-trier.ekir.de/;
Fluthilfe;Resilienzmanagement / Fluthilfe;49.770.775;6.662.209;Herzogenbuscher Straße 54, 54292 Trier;0651 94873-490;https://www.caritas-region-trier.de/hilfe-und-beratung/fluthilfe/fluthilfe;
Psychosoziales Zentrum für Geflüchtete;Migration und Flucht ;49.770.889;6.670.122;Dasbachstr. 21, 54292 Trier;0651 9910600;https://www.caritas-region-trier.de/hilfe-und-beratung/lebensraeume/migration-und-flucht/psychosoziales-zentrum-fuer-gefluechtete/psychosoziales-zentrum-fuer-gefluechtete;
Beratungs- und Koordinierungsstellen in den Pflegestützpunkten in Schweich;Gesundheitshilfen/ambulante Pflege;49.817.188;6.751.395;Zum Schwimmbad 5, 54338 Schweich;;https://mastd.rlp.de/themen/pflege/menschen-pflegen/pflegestuetzpunkte;
Sozialstation Schweich;Gesundheitshilfen/ambulante Pflege;49.817.188;6.751.395;Zum Schwimmbad, 54338 Schweich;06502 9357-0;https://www.caritas-region-trier.de/hilfe-und-beratung/lebensphasen/alter-und-pflege/sozialstationen/startseite;
Integrative Kindertagesstätten Haus Tobias Trier‑Quint;Kinder- und Jugendhilfe;49.822.913;670.568;Von-Pidoll-Straße 16, 54293 Trier;0651 64770;https://www.caritas-region-trier.de/hilfe-und-beratung/lebensphasen/kinder/integrative-kindertagesstaetten-haus-tobias/integrative-kindertagesstaetten-haus-tobias;
Beratungs- und Koordinierungsstellen in den Pflegestützpunkten Kordel;Gesundheitshilfen/ambulante Pflege;49.839.268;6.633.866;Kreuzfeld 2, 54306 Kordel;;https://mastd.rlp.de/themen/pflege/menschen-pflegen/pflegestuetzpunkte;
Sozialstation Welschbillig;Gesundheitshilfen/ambulante Pflege;49.851.753;6.571.469;Am Sportplatz 3, 54298 Welschbillig;06506 99047;https://www.caritas-region-trier.de/hilfe-und-beratung/lebensphasen/alter-und-pflege/sozialstationen/startseite;
Mitgesellschafter in der Pflegegesellschaft St. Martin gGmbH  (Hetzerath);Gesundheitshilfen/ambulante Pflege;49.877.758;6.815.534;Hauptstr. 3-5, 54523 Hetzerath;;https://www.pflege-stmartin.de/pgstm/;
Gemeindepsychiatrisches Betreuungszentrum Leistner-Haus;Gemeindepsychiatrie;49.912.842;7.068.725;Saarallee 6, 54470 Bernkastel-Kues;06531 972928;https://www.caritas-region-trier.de/hilfe-und-beratung/lebenslagen/beeintraechtigung-und-krankheit/leistner-haus/;Das Leistner-Haus ist das Gemeindepsychiatrische Betreuungszentrum in Bernkastel-Kues für Menschen mit psychischen Erkrankungen sowie deren Angehörige. Mit individuellen Beratungs- und Unterstützungsangeboten begleitet die Einrichtung Menschen auf dem Weg zu einem selbstbestimmten Leben.
Sozialpädiatrisches Zentrum Trier (SPZ) mit Frühförderung mit Außenstelle in Bitburg;Kinder- und Jugendhilfe;49.971.797;6.519.424;Brodenheckstraße 38, 54634 Bitburg;0651 2096 657;https://www.spz-trier.de/;
